CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
HARBORcenter Development|Franchisee(F),Owner(F)|||0011I00000cJXgwQAG|||North American|NE||||Active|99.60C|
Law Debenture Corporate Services Limited|Owner(L)|||0011I00000cJXgxQAG|||International|Europe||||Active||
Tala Management, Inc.|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXgyQAG|||North American|NE||||Active|99.41A|
Springwood Hospitality, LLC|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXgzQAG|||North American|MidAtl||||Active|99.471|
Madison Capital||||0011I00000cJXh0QAG|||North American|NE||||Inactive||
Dee's Inc.|Franchisee(F),Owner(F)|||0011I00000cJXh1QAG|||North American|West||||Active|99.93A|
Pearson Hospitality Group|Manager(F)|||0011I00000cJXh2QAG|||North American|West||||Active|99.730|
T.H. Hospitality LLC||||0011I00000cJXh3QAG|||North American|SoCent||||Inactive||
Ustler Development, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXh4QAG|||North American|SE||||Active|99.00C|
NCITE, Inc.|Franchisee(F),Owner(F)|||0011I00000cJXh5QAG|||North American|West||||Active|99.10A|
H&H Hotels|Franchisee(F),Manager(F),Owner(F)|||0011I00000cJXh6QAG|||North American|SoCent||||Active|99.66A|
BlackRidge Companies|Franchisee(F),Owner(F)|||0011I00000cJXh7QAG|||North American|West||||Active|99.68A|
CB LaGuardia Hotel, LLC||||0011I00000cJXh8QAG|||North American|NE||||Inactive||
