prop_id,prop_nm,MARSHA_TXT,PROP_STATUS_TXT,OPS_REGION_TXT,NALO_INTL_TXT,brand_txt,hotel_type_txt,OWNER_TYPE_TXT,DUD_DIVISION_CD,DUD_UNIT_CD,DUD_DEPT_CD,PEOPLESOFT_ID_DIVISION,PEOPLESOFT_ID_UNIT,PEOPLESOFT_ID_DEPT,PROP_MGR_TXT,PROP_OWNER_TXT,PROP_FRAN_TXT,PROP_AM_TXT
a1W1I000000aXQBUA2,SpringHill Suites By Marriott Nashville Downtown/Convention Center,BNASN,Open,East,NALO,SpringHill Suites By Marriott,MSB,F,,,,,,,0011I00000cJXbHQAW,0011I00000cJXbHQAW,0011I00000cJXbHQAW,
a1W1I000000aXQmUAM,TownePlace Suites By Marriott Indianapolis Downtown,INDTD,Pre-Opening,West,NALO,TownePlace Suites By Marriott,MSB,F,,,,,,,0011I00000cJXnIQAW,0011I00000cJWUCQA4,0011I00000cJWUCQA4,
a1W1I000000aXRKUA2,AC Hotel By Marriott Huntsville Downtown,HSVAR,Open,East,NALO,AC Hotels By Marriott,MSB,F,,,,,,,0011I00000cJXUaQAO,0011I00000cJXUaQAO,0011I00000cJXUaQAO,
a1W1I000000aXRzUAM,Fairfield Inn & Suites LaPlace,MSYLF,Open,East,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXr8QAG,0011I00000cJXr8QAG,0011I00000cJXr8QAG,
a1W1I000000aXS1UAM,TownePlace Suites By Marriott Clinton,CDWTS,Open,East,NALO,TownePlace Suites By Marriott,MSB,F,,,,,,,0011I00000cJXlbQAG,0011I00000cJWUgQAO,0011I00000cJWUgQAO,
a1W1I000000aXSZUA2,TownePlace Suites By Marriott Denver Airport/Tower Road,DENTT,Pre-Opening,West,NALO,TownePlace Suites By Marriott,MSB,F,,,,,,,0011I00000cJXdnQAG,0011I00000cJXw8QAG,0011I00000cJXw8QAG,
a1W1I000000aXSbUAM,Fairfield Inn & Suites Los Angeles Pomona,,Pre-Opening,West,NALO,Fairfield Inn & Suites,MSB,F,,,,,,,0011I00000cJXjJQAW,0011I00000cJWVzQAO,0011I00000cJWVzQAO,
a1W1I000000aXT9UAM,W Atlanta - Midtown,ATLMW,Open,East,NALO,W Hotels,Luxury,M,,,,,,,0011I00000cJTjcQAG,0011I00000cJXxhQAG,,
a1W1I000000aXTAUA2,Sheraton Indianapolis Hotel at Keystone Crossing,INDSI,Open,West,NALO,Sheraton Hotels,FS,F,,,,,,,0011I00000cJXqOQAW,0011I000019UrIJQA0,0011I000019UrIJQA0,
a1W1I000000aXTWUA2,Aloft San Francisco Airport,SFOAL,Open,West,NALO,Aloft Hotels,MSB,F,,,,,,,0011I00000cJXtdQAG,0011I00000cJXu8QAG,0011I00000cJXu8QAG,
